evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
27 km al NO de Petorca,-32.117,-71.171,2022-05-29,17:32:53,2022-05-29,21:32:53,83,km,2.7,Ml
49 km al SO de Mina Collahuasi,-21.107,-69.024,2022-05-29,17:20:38,2022-05-29,21:20:38,96,km,2.5,Ml
65 km al NE de Socaire,-23.322,-67.327,2022-05-29,17:04:50,2022-05-29,21:04:50,260,km,2.8,Ml
22 km al NE de San FabiÃ¡n,-36.422,-71.378,2022-05-29,16:57:05,2022-05-29,20:57:05,100,km,2.8,Ml
49 km al SO de Mina Collahuasi,-21.232,-68.854,2022-05-29,15:43:15,2022-05-29,19:43:15,111,km,2.7,Ml
47 km al SO de Mina Collahuasi,-21.163,-68.925,2022-05-29,15:32:31,2022-05-29,19:32:31,110,km,2.5,Ml
23 km al E de Pica,-20.426,-69.121,2022-05-29,14:46:53,2022-05-29,18:46:53,96,km,2.6,Ml
27 km al NE de San Pedro de Atacama,-22.735,-68.034,2022-05-29,14:40:19,2022-05-29,18:40:19,197,km,2.7,Ml
74 km al SE de Socaire,-24.181,-67.563,2022-05-29,13:43:19,2022-05-29,17:43:19,252,km,3.2,Ml
52 km al SE de Socaire,-23.99,-67.635,2022-05-29,13:09:30,2022-05-29,17:09:30,242,km,3.7,Ml
8 km al N de Cuya,-19.094,-70.165,2022-05-29,12:54:49,2022-05-29,16:54:49,44,km,2.7,Ml
46 km al SE de Pica,-20.852,-69.109,2022-05-29,11:47:39,2022-05-29,15:47:39,109,km,2.7,Ml
60 km al E de Socaire,-23.452,-67.317,2022-05-29,11:26:45,2022-05-29,15:26:45,254,km,3.3,Ml
64 km al NO de ValparaÃ­so,-32.509,-71.84,2022-05-29,10:02:20,2022-05-29,14:02:20,24,km,3.3,Ml
50 km al NE de Taltal,-25.004,-70.278,2022-05-29,09:09:12,2022-05-29,13:09:12,35,km,2.7,Ml
18 km al NO de Panguipulli,-39.496,-72.423,2022-05-29,04:34:32,2022-05-29,08:34:32,81,km,3.1,Ml
20 km al O de Andacollo,-30.306,-71.273,2022-05-29,04:31:56,2022-05-29,08:31:56,76,km,3.6,Ml
36 km al SO de Mina Collahuasi,-21.111,-68.827,2022-05-29,03:32:31,2022-05-29,07:32:31,119,km,3.4,Ml
40 km al S de Mina Collahuasi,-21.189,-68.649,2022-05-29,03:02:55,2022-05-29,07:02:55,111,km,2.5,Ml
104 km al E de Socaire,-23.661,-66.868,2022-05-29,02:41:53,2022-05-29,06:41:53,233,km,3.6,Ml
48 km al SO de OllagÃ¼e,-21.556,-68.555,2022-05-29,02:04:33,2022-05-29,06:04:33,139,km,2.9,Ml
19 km al NO de Calama,-22.319,-69.01,2022-05-29,01:48:52,2022-05-29,05:48:52,106,km,2.6,Ml
67 km al E de Mina Los Pelambres,-31.662,-69.908,2022-05-29,01:14:10,2022-05-29,05:14:10,129,km,2.8,Ml
75 km al E de Paihuano,-30.155,-69.752,2022-05-29,01:05:22,2022-05-29,05:05:22,127,km,3.0,Ml
35 km al S de Calama,-22.783,-68.892,2022-05-28,22:37:26,2022-05-29,02:37:26,96,km,2.5,Ml
89 km al NE de San Pedro de Atacama,-22.223,-67.782,2022-05-28,22:28:19,2022-05-29,02:28:19,213,km,2.9,Ml
