evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
44 km al SE de Pica,-20.813,-69.08,2022-05-13,19:39:13,2022-05-13,23:39:13,106,km,2.6,Ml
61 km al N de Huasco,-27.919,-71.132,2022-05-13,14:34:08,2022-05-13,18:34:08,38,km,2.9,Ml
129 km al NO de ConstituciÃ³n,-34.793,-73.67,2022-05-13,13:31:14,2022-05-13,17:31:14,16,km,2.5,Ml
65 km al N de Pica,-19.929,-69.154,2022-05-13,12:00:19,2022-05-13,16:00:19,96,km,2.9,Ml
8 km al SO de Ovalle,-30.635,-71.272,2022-05-13,11:17:51,2022-05-13,15:17:51,55,km,4.1,Ml
73 km al O de Iquique,-20.142,-70.844,2022-05-13,09:39:10,2022-05-13,13:39:10,20,km,3.1,Ml
35 km al NO de Mina Collahuasi,-20.577,-68.867,2022-05-13,08:43:36,2022-05-13,12:43:36,114,km,2.8,Ml
26 km al O de Puerto Octay,-40.916,-73.183,2022-05-13,07:41:37,2022-05-13,11:41:37,41,km,3.2,Ml
87 km al E de Socaire,-23.853,-67.081,2022-05-13,06:51:37,2022-05-13,10:51:37,231,km,2.8,Ml
143 km al O de ConstituciÃ³n,-34.984,-73.923,2022-05-13,06:18:51,2022-05-13,10:18:51,46,km,2.5,Ml
78 km al E de Socaire,-23.834,-67.169,2022-05-13,05:47:51,2022-05-13,09:47:51,239,km,4.2,Ml
30 km al N de La Higuera,-29.258,-71.299,2022-05-13,04:25:01,2022-05-13,08:25:01,52,km,2.5,Ml
28 km al NO de El Tabo,-33.296,-71.91,2022-05-13,03:50:33,2022-05-13,07:50:33,32,km,3.8,Ml
150 km al O de Caldera,-26.828,-72.311,2022-05-13,02:27:11,2022-05-13,06:27:11,10,km,2.6,Ml
7 km al E de Vallenar,-28.558,-70.686,2022-05-13,02:06:23,2022-05-13,06:06:23,75,km,2.8,Ml
73 km al N de Calama,-21.835,-68.769,2022-05-13,01:20:39,2022-05-13,05:20:39,130,km,2.6,Ml
111 km al E de Socaire,-23.974,-66.878,2022-05-13,00:48:04,2022-05-13,04:48:04,217,km,2.8,Ml
5 km al SE de Pozo Almonte,-20.299,-69.76,2022-05-12,23:59:20,2022-05-13,03:59:20,65,km,2.8,Ml
62 km al N de Pica,-19.95,-69.172,2022-05-12,23:44:53,2022-05-13,03:44:53,93,km,2.6,Ml
40 km al NO de ConstituciÃ³n,-35.014,-72.623,2022-05-12,20:25:35,2022-05-13,00:25:35,9,km,2.7,Ml
