evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
50 km al S de Mina Collahuasi,-21.274 ,-68.703,2022-03-27,20:19:30,2022-03-27,23:19:30,126,km,3.1,Ml
82 km al SE de Socaire,-24.176 ,-67.406,2022-03-27,18:20:57,2022-03-27,21:20:57,242,km,3.4,Ml
119 km al NO de ConstituciÃ³n,-34.791 ,-73.535,2022-03-27,15:48:20,2022-03-27,18:48:20,31,km,2.7,Ml
49 km al O de El Tabo,-33.549 ,-72.188,2022-03-27,15:35:03,2022-03-27,18:35:03,16,km,4.3,Mw
35 km al SE de Rancagua,-34.358 ,-70.431,2022-03-27,15:30:46,2022-03-27,18:30:46,118,km,2.6,Ml
47 km al N de Mina La Escondida.,-23.843 ,-69.033,2022-03-27,13:43:16,2022-03-27,16:43:16,87,km,2.5,Ml
84 km al SE de Socaire,-24.186 ,-67.386,2022-03-27,08:21:19,2022-03-27,11:21:19,212,km,3.6,Ml
118 km al O de Pichilemu,-34.142 ,-73.261,2022-03-27,07:49:02,2022-03-27,10:49:02,30,km,2.9,Ml
39 km al S de Mina Collahuasi,-21.171 ,-68.613,2022-03-27,07:32:15,2022-03-27,10:32:15,131,km,3.0,Ml
61 km al NE de Calama,-22.005 ,-68.610,2022-03-27,06:26:10,2022-03-27,09:26:10,124,km,2.5,Ml
36 km al SO de CamiÃ±a,-19.556 ,-69.658,2022-03-27,05:28:50,2022-03-27,08:28:50,73,km,3.6,Ml
14 km al SE de Lonquimay,-38.517 ,-71.233,2022-03-27,05:26:37,2022-03-27,08:26:37,151,km,2.9,Ml
111 km al SE de Socaire,-24.067 ,-66.933,2022-03-27,05:05:46,2022-03-27,08:05:46,205,km,3.4,Ml
7 km al S de Tongoy,-30.315 ,-71.504,2022-03-27,03:58:05,2022-03-27,06:58:05,45,km,2.6,Ml
40 km al O de Quillagua,-21.615 ,-69.915,2022-03-27,01:00:18,2022-03-27,04:00:18,89,km,2.5,Ml
28 km al E de Sierra Gorda.,-22.979 ,-69.056,2022-03-26,23:53:03,2022-03-27,02:53:03,95,km,2.7,Ml
57 km al S de Socaire,-24.093 ,-67.767,2022-03-26,22:39:21,2022-03-27,01:39:21,264,km,3.2,Ml
71 km al SO de Tongoy,-30.581 ,-72.134,2022-03-26,21:06:02,2022-03-27,00:06:02,44,km,3.8,Ml
56 km al SE de Socaire,-23.887 ,-67.451,2022-03-26,21:05:48,2022-03-27,00:05:48,268,km,3.6,Ml
61 km al SO de San Pedro de Atacama,-23.321 ,-68.614,2022-03-26,21:02:21,2022-03-27,00:02:21,105,km,2.8,Ml
