evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
63 km al NO de Lebu,-37.091 ,-73.944,2022-03-01,20:54:41,2022-03-01,23:54:41,29,km,3.9,Mlv
41 km al O de Arauco,-37.076 ,-73.732,2022-03-01,19:53:49,2022-03-01,22:53:49,13,km,2.7,Ml
19 km al N de Lota,-36.934 ,-73.212,2022-03-01,18:54:42,2022-03-01,21:54:42,19,km,3.3,Ml
22 km al O de Canela Baja,-31.452 ,-71.682,2022-03-01,18:52:35,2022-03-01,21:52:35,36,km,2.8,Ml
25 km al NE de Melipilla,-33.482 ,-71.100,2022-03-01,18:29:56,2022-03-01,21:29:56,69,km,2.8,Ml
69 km al SE de Socaire,-24.136 ,-67.578,2022-03-01,17:20:29,2022-03-01,20:20:29,208,km,3.4,Ml
71 km al S de Socaire,-24.218 ,-67.782,2022-03-01,16:47:31,2022-03-01,19:47:31,218,km,2.6,Ml
25 km al N de Mina Los Pelambres,-31.595 ,-70.576,2022-03-01,12:24:41,2022-03-01,15:24:41,78,km,2.5,Ml
49 km al SO de Mina Collahuasi,-21.173 ,-68.946,2022-03-01,10:11:38,2022-03-01,13:11:38,113,km,2.7,Ml
74 km al SE de Socaire,-24.073 ,-67.388,2022-03-01,09:12:07,2022-03-01,12:12:07,234,km,3.1,Ml
45 km al NO de Arauco,-36.935 ,-73.646,2022-03-01,09:02:00,2022-03-01,12:02:00,28,km,3.0,Ml
12 km al N de Punitaqui,-30.726 ,-71.255,2022-03-01,07:10:35,2022-03-01,10:10:35,59,km,2.5,Ml
72 km al SE de Socaire,-24.125 ,-67.483,2022-03-01,05:36:09,2022-03-01,08:36:09,210,km,3.5,Ml
63 km al SO de Los Vilos,-32.365 ,-71.918,2022-03-01,05:05:55,2022-03-01,08:05:55,43,km,3.5,Ml
36 km al NO de Arauco,-37.022 ,-73.606,2022-03-01,04:52:08,2022-03-01,07:52:08,38,km,3.1,Ml
42 km al NO de Tongoy,-29.916 ,-71.680,2022-03-01,04:44:36,2022-03-01,07:44:36,39,km,3.2,Ml
67 km al NO de Arauco,-36.912 ,-73.941,2022-03-01,04:30:29,2022-03-01,07:30:29,41,km,2.9,Ml
65 km al NO de Arauco,-36.939 ,-73.935,2022-03-01,03:39:20,2022-03-01,06:39:20,40,km,3.2,Ml
57 km al N de Lebu,-37.120 ,-73.851,2022-03-01,03:32:57,2022-03-01,06:32:57,34,km,3.1,Ml
20 km al O de Putre,-18.267 ,-69.738,2022-03-01,02:52:14,2022-03-01,05:52:14,126,km,3.1,Ml
23 km al SE de Lebu,-37.799 ,-73.548,2022-03-01,02:16:52,2022-03-01,05:16:52,66,km,2.5,Ml
50 km al SE de Socaire,-23.792 ,-67.457,2022-03-01,02:05:45,2022-03-01,05:05:45,218,km,3.0,Ml
50 km al O de Arauco,-37.072 ,-73.842,2022-03-01,01:57:53,2022-03-01,04:57:53,39,km,3.3,Ml
81 km al NO de ConcepciÃ³n,-36.433 ,-73.812,2022-03-01,01:48:30,2022-03-01,04:48:30,37,km,2.9,Ml
87 km al NO de Lebu,-36.922 ,-74.134,2022-03-01,00:42:07,2022-03-01,03:42:07,25,km,3.6,Ml
124 km al NO de Arauco,-36.497 ,-74.355,2022-03-01,00:32:49,2022-03-01,03:32:49,31,km,3.1,Ml
39 km al SO de Mina Collahuasi,-21.105 ,-68.882,2022-03-01,00:06:54,2022-03-01,03:06:54,112,km,2.6,Ml
71 km al NO de Arauco,-36.877 ,-73.967,2022-02-28,23:24:13,2022-03-01,02:24:13,32,km,2.9,Ml
33 km al SO de San JosÃ© de Maipo,-33.803 ,-70.645,2022-02-28,23:05:40,2022-03-01,02:05:40,100,km,2.8,Ml
35 km al O de Tongoy,-30.242 ,-71.856,2022-02-28,21:28:03,2022-03-01,00:28:03,33,km,2.5,Ml
174 km al NO de ConstituciÃ³n,-34.513 ,-74.040,2022-02-28,21:26:20,2022-03-01,00:26:20,21,km,3.0,Ml
14 km al O de OllagÃ¼e,-21.271 ,-68.375,2022-02-28,21:22:27,2022-03-01,00:22:27,137,km,2.6,Ml
89 km al E de San Pedro de Atacama,-22.825 ,-67.338,2022-02-28,21:08:20,2022-03-01,00:08:20,238,km,2.6,Ml
