evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
76 km al E de OllagÃ¼e,-21.319 ,-67.531,2022-04-10,18:13:42,2022-04-10,22:13:42,228,km,3.8,Ml
43 km al NE de Pica,-20.141 ,-69.155,2022-04-10,18:10:55,2022-04-10,22:10:55,106,km,3.7,Ml
15 km al NO de Huasco,-28.346 ,-71.287,2022-04-10,17:21:19,2022-04-10,21:21:19,51,km,2.6,Ml
61 km al SO de Mina Collahuasi,-21.192 ,-69.101,2022-04-10,16:21:24,2022-04-10,20:21:24,95,km,2.5,Ml
357 km al O de Melinka,-44.380 ,-78.165,2022-04-10,16:03:02,2022-04-10,20:03:02,10,km,4.5,Mw
45 km al NO de Mina Collahuasi,-20.464 ,-68.845,2022-04-10,15:56:39,2022-04-10,19:56:39,111,km,2.6,Ml
71 km al SE de Socaire,-24.061 ,-67.413,2022-04-10,15:35:03,2022-04-10,19:35:03,205,km,3.2,Ml
20 km al NE de Putre,-18.076 ,-69.419,2022-04-10,15:17:41,2022-04-10,19:17:41,136,km,3.3,Ml
59 km al NE de El Salvador,-25.859 ,-69.205,2022-04-10,09:42:02,2022-04-10,13:42:02,115,km,2.9,Ml
29 km al S de Santiago,-33.702 ,-70.665,2022-04-10,09:12:36,2022-04-10,13:12:36,34,km,2.6,Ml
16 km al NO de Vallenar,-28.504 ,-70.901,2022-04-10,08:55:20,2022-04-10,12:55:20,58,km,3.1,Ml
77 km al NO de Cobquecura,-35.530 ,-73.217,2022-04-10,08:19:37,2022-04-10,12:19:37,23,km,3.2,Ml
110 km al SE de Socaire,-24.114 ,-66.978,2022-04-10,08:07:13,2022-04-10,12:07:13,174,km,2.8,Ml
80 km al SO de Alto Hospicio,-20.916 ,-70.444,2022-04-10,07:19:58,2022-04-10,11:19:58,66,km,2.7,Ml
104 km al NE de Socaire,-23.054 ,-67.059,2022-04-10,05:54:14,2022-04-10,09:54:14,229,km,3.5,Ml
57 km al E de OllagÃ¼e,-21.341 ,-67.714,2022-04-10,04:32:02,2022-04-10,08:32:02,210,km,2.8,Ml
37 km al SO de CamiÃ±a,-19.571 ,-69.645,2022-04-10,02:46:12,2022-04-10,06:46:12,79,km,2.5,Ml
43 km al SO de Los Vilos,-32.153 ,-71.861,2022-04-10,02:16:22,2022-04-10,06:16:22,12,km,3.5,Ml
46 km al O de La Higuera,-29.473 ,-71.679,2022-04-10,01:36:13,2022-04-10,05:36:13,44,km,2.6,Ml
87 km al SE de Socaire,-24.081 ,-67.227,2022-04-10,01:25:53,2022-04-10,05:25:53,182,km,2.8,Ml
49 km al NO de El Tabo,-33.218 ,-72.114,2022-04-09,23:54:01,2022-04-10,03:54:01,35,km,3.7,Ml
48 km al NO de El Tabo,-33.199 ,-72.085,2022-04-09,23:00:45,2022-04-10,03:00:45,36,km,2.5,Ml
7 km al S de La Higuera,-29.569 ,-71.222,2022-04-09,22:13:37,2022-04-10,02:13:37,46,km,2.6,Ml
24 km al E de Calama,-22.494 ,-68.693,2022-04-09,22:11:14,2022-04-10,02:11:14,128,km,2.6,Ml
63 km al SE de Socaire,-24.003 ,-67.467,2022-04-09,22:05:00,2022-04-10,02:05:00,210,km,3.5,Ml
73 km al SE de Socaire,-23.988 ,-67.321,2022-04-09,21:30:11,2022-04-10,01:30:11,223,km,3.3,Ml
26 km al O de Talca,-35.335 ,-71.930,2022-04-09,20:29:02,2022-04-10,00:29:02,62,km,2.5,Ml
