evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
24 km al NE de Calama,-22.313 ,-68.775,2022-09-12,20:38:24,2022-09-12,23:38:24,116,km,4.5,Mw
48 km al SO de Mina La Escondida.,-24.628 ,-69.325,2022-09-12,20:32:22,2022-09-12,23:32:22,81,km,2.8,Ml
34 km al S de Los Vilos,-32.213 ,-71.596,2022-09-12,19:04:53,2022-09-12,22:04:53,29,km,2.6,Ml
28 km al O de Colina,-33.206 ,-70.982,2022-09-12,18:02:06,2022-09-12,21:02:06,72,km,3.7,Ml
17 km al N de Ovalle,-30.448 ,-71.175,2022-09-12,15:02:52,2022-09-12,18:02:52,62,km,3.0,Ml
57 km al O de El Tabo,-33.459 ,-72.285,2022-09-12,13:44:12,2022-09-12,16:44:12,42,km,2.5,Ml
32 km al SO de Los Vilos,-32.051 ,-71.803,2022-09-12,12:17:42,2022-09-12,15:17:42,55,km,2.7,Ml
34 km al SO de Mina Collahuasi,-21.090 ,-68.815,2022-09-12,08:46:22,2022-09-12,11:46:22,113,km,3.3,Ml
34 km al SE de Melipilla,-33.943 ,-71.007,2022-09-12,05:14:19,2022-09-12,08:14:19,78,km,3.1,Ml
16 km al SO de Tongoy,-30.336 ,-71.639,2022-09-12,04:41:47,2022-09-12,07:41:47,37,km,2.8,Ml
71 km al SE de Cami̱a,-19.878 ,-69.103,2022-09-12,01:30:28,2022-09-12,04:30:28,121,km,3.0,Ml
33 km al SO de Mina Collahuasi,-21.094 ,-68.793,2022-09-12,00:27:39,2022-09-12,03:27:39,111,km,3.0,Ml
109 km al SE de Socaire,-24.337 ,-67.196,2022-09-11,23:56:44,2022-09-12,02:56:44,186,km,3.6,Ml
