evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al O de Socaire,-23.647 ,-68.259,2022-08-30,18:56:35,2022-08-30,22:56:35,112,km,3.0,Ml
78 km al SE de Socaire,-24.032 ,-67.296,2022-08-30,17:26:49,2022-08-30,21:26:49,262,km,3.5,Ml
48 km al SE de CuricÃ³,-35.315 ,-70.900,2022-08-30,14:53:24,2022-08-30,18:53:24,100,km,3.7,Ml
22 km al O de OllagÃ¼e,-21.219 ,-68.466,2022-08-30,13:13:18,2022-08-30,17:13:18,127,km,2.6,Ml
9 km al S de Panguipulli,-39.723 ,-72.352,2022-08-30,13:02:40,2022-08-30,17:02:40,102,km,3.1,Ml
40 km al SE de Socaire,-23.852 ,-67.618,2022-08-30,11:20:32,2022-08-30,15:20:32,252,km,2.7,Ml
96 km al NO de Punta Arenas,-52.610 ,-72.006,2022-08-30,10:34:00,2022-08-30,14:34:00,44,km,3.0,Ml
89 km al NO de Punta Arenas,-52.547 ,-71.747,2022-08-30,10:32:16,2022-08-30,14:32:16,45,km,3.9,Ml
54 km al SO de Los Vilos,-32.287 ,-71.880,2022-08-30,07:32:14,2022-08-30,11:32:14,24,km,2.7,Ml
33 km al O de OllagÃ¼e,-21.117 ,-68.555,2022-08-30,05:54:05,2022-08-30,09:54:05,132,km,2.7,Ml
90 km al S de Ilo,-18.452 ,-71.249,2022-08-30,02:57:45,2022-08-30,06:57:45,34,km,3.0,Ml
36 km al E de Los Andes.,-32.792 ,-70.216,2022-08-29,23:52:25,2022-08-30,03:52:25,136,km,3.0,Ml
52 km al N de Mejillones,-22.644 ,-70.565,2022-08-29,22:38:30,2022-08-30,02:38:30,27,km,3.0,Ml
38 km al NE de Pica,-20.191 ,-69.150,2022-08-29,22:03:27,2022-08-30,02:03:27,97,km,2.8,Ml
