evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
29 km al SE de Socaire,-23.767,-67.687,2022-04-08,19:44:55,2022-04-08,23:44:55,231,km,2.8,Ml
29 km al S de Sierra Gorda.,-23.142,-69.22,2022-04-08,17:51:26,2022-04-08,21:51:26,109,km,2.6,Ml
51 km al S de Putre,-18.641,-69.668,2022-04-08,17:37:16,2022-04-08,21:37:16,94,km,2.6,Ml
29 km al O de Mina Collahuasi,-20.86,-68.939,2022-04-08,17:19:15,2022-04-08,21:19:15,104,km,2.5,Ml
66 km al SO de OllagÃ¼e,-21.649,-68.693,2022-04-08,16:49:08,2022-04-08,20:49:08,107,km,3.3,Ml
27 km al N de Baquedano,-23.095,-69.844,2022-04-08,15:55:27,2022-04-08,19:55:27,71,km,2.5,Ml
11 km al O de OllagÃ¼e,-21.246,-68.362,2022-04-08,15:05:03,2022-04-08,19:05:03,143,km,3.4,Ml
63 km al SE de Socaire,-24.09,-67.607,2022-04-08,13:56:17,2022-04-08,17:56:17,214,km,3.6,Ml
44 km al SE de Pica,-20.857,-69.163,2022-04-08,12:54:42,2022-04-08,16:54:42,106,km,2.7,Ml
37 km al NE de Calama,-22.214,-68.697,2022-04-08,12:10:13,2022-04-08,16:10:13,112,km,3.2,Ml
36 km al S de Mina Collahuasi,-21.135,-68.752,2022-04-08,11:12:54,2022-04-08,15:12:54,111,km,3.0,Ml
30 km al E de Quillagua,-21.659,-69.248,2022-04-08,10:34:07,2022-04-08,14:34:07,82,km,2.5,Ml
26 km al SE de Linares,-36.012,-71.397,2022-04-08,08:37:11,2022-04-08,12:37:11,111,km,3.2,Ml
12 km al E de Calama,-22.451,-68.816,2022-04-08,05:03:42,2022-04-08,09:03:42,118,km,3.9,Ml
21 km al O de Villarrica,-39.229,-72.455,2022-04-08,04:16:42,2022-04-08,08:16:42,75,km,2.9,Ml
46 km al O de Taltal,-25.495,-70.933,2022-04-07,22:18:58,2022-04-08,02:18:58,37,km,4.2,Ml
67 km al N de Calama,-21.906,-68.706,2022-04-07,20:27:30,2022-04-08,00:27:30,129,km,2.9,Ml
43 km al N de Calama,-22.102,-68.795,2022-04-07,20:14:24,2022-04-08,00:14:24,114,km,3.9,Ml
50 km al S de Putre,-18.621,-69.718,2022-04-07,20:11:00,2022-04-08,00:11:00,86,km,3.1,Ml
