evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
43 km al SO de Mina Collahuasi,-21.154,-68.871,2022-04-27,18:18:28,2022-04-27,22:18:28,113,km,2.9,Ml
28 km al O de OllagÃ¼e,-21.233,-68.521,2022-04-27,17:04:25,2022-04-27,21:04:25,130,km,2.7,Ml
33 km al E de Tacna,-18.008,-69.939,2022-04-27,16:12:10,2022-04-27,20:12:10,89,km,2.8,Ml
36 km al SE de Sierra Gorda.,-23.092,-69.03,2022-04-27,16:01:16,2022-04-27,20:01:16,110,km,3.1,Ml
27 km al E de Tocopilla,-22.048,-69.945,2022-04-27,14:41:47,2022-04-27,18:41:47,51,km,3.0,Ml
70 km al SE de Socaire,-23.957,-67.333,2022-04-27,11:42:54,2022-04-27,15:42:54,252,km,3.6,Ml
65 km al SE de Socaire,-23.987,-67.424,2022-04-27,11:29:05,2022-04-27,15:29:05,246,km,3.6,Ml
68 km al SE de CamiÃ±a,-19.868,-69.145,2022-04-27,10:13:54,2022-04-27,14:13:54,102,km,4.5,Mw
32 km al SO de Mina Collahuasi,-21.015,-68.894,2022-04-27,07:40:59,2022-04-27,11:40:59,105,km,2.8,Ml
122 km al SE de Socaire,-24.099,-66.826,2022-04-27,07:25:13,2022-04-27,11:25:13,215,km,3.9,Ml
17 km al S de Pichilemu,-34.541,-72.037,2022-04-27,07:07:57,2022-04-27,11:07:57,32,km,3.7,Ml
81 km al SO de Mina La Escondida.,-24.881,-69.494,2022-04-27,05:54:07,2022-04-27,09:54:07,94,km,2.9,Ml
41 km al SO de Huasco,-28.724,-71.515,2022-04-27,05:41:23,2022-04-27,09:41:23,29,km,3.8,Ml
77 km al O de Tongoy,-30.329,-72.287,2022-04-27,03:49:03,2022-04-27,07:49:03,30,km,2.5,Ml
21 km al NO de Los Vilos,-31.764,-71.656,2022-04-27,03:33:40,2022-04-27,07:33:40,28,km,3.2,Ml
112 km al SE de Socaire,-24.42,-67.265,2022-04-27,02:29:05,2022-04-27,06:29:05,191,km,3.7,Ml
28 km al SO de OllagÃ¼e,-21.453,-68.364,2022-04-26,23:37:10,2022-04-27,03:37:10,126,km,2.7,Ml
74 km al SE de Socaire,-24.145,-67.498,2022-04-26,21:11:40,2022-04-27,01:11:40,217,km,4.3,Mw
53 km al E de OllagÃ¼e,-21.234,-67.741,2022-04-26,20:48:11,2022-04-27,00:48:11,190,km,2.8,Ml
12 km al S de Los Vilos,-32.024,-71.508,2022-04-26,20:23:46,2022-04-27,00:23:46,58,km,2.9,Ml
