evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
20 km al NE de OllagÃ¼e,-21.078,-68.136,2022-04-13,18:56:14,2022-04-13,22:56:14,160,km,3.3,Ml
28 km al SO de Mina Collahuasi,-21.057,-68.755,2022-04-13,15:44:25,2022-04-13,19:44:25,131,km,3.1,Ml
41 km al E de CamiÃ±a,-19.395,-69.042,2022-04-13,12:21:25,2022-04-13,16:21:25,121,km,4.4,Ml
50 km al N de Mejillones,-22.659,-70.378,2022-04-13,03:25:53,2022-04-13,07:25:53,11,km,2.8,Ml
65 km al NE de Quillagua,-21.41,-68.963,2022-04-13,03:11:17,2022-04-13,07:11:17,113,km,2.9,Ml
104 km al SE de Socaire,-24.332,-67.263,2022-04-13,02:54:04,2022-04-13,06:54:04,188,km,4.0,Ml
28 km al SO de Los Vilos,-32.135,-71.657,2022-04-13,01:14:17,2022-04-13,05:14:17,41,km,3.1,Ml
19 km al NE de Los Vilos,-31.757,-71.42,2022-04-13,01:05:40,2022-04-13,05:05:40,46,km,2.5,Ml
35 km al O de OllagÃ¼e,-21.255,-68.593,2022-04-13,00:30:33,2022-04-13,04:30:33,124,km,2.5,Ml
56 km al S de Putre,-18.696,-69.59,2022-04-12,23:42:41,2022-04-13,03:42:41,112,km,4.0,Ml
47 km al S de Mina Collahuasi,-21.242,-68.745,2022-04-12,23:40:28,2022-04-13,03:40:28,110,km,3.6,Ml
23 km al E de Rancagua,-34.147,-70.486,2022-04-12,22:34:52,2022-04-13,02:34:52,118,km,2.8,Ml
45 km al E de Sierra Gorda.,-22.91,-68.874,2022-04-12,21:29:16,2022-04-13,01:29:16,85,km,3.4,Ml
50 km al SO de Tongoy,-30.667,-71.703,2022-04-12,21:05:52,2022-04-13,01:05:52,35,km,3.6,Ml
