evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
46 km al NE de TirÃºa,-38.035,-73.15,2022-02-13,19:27:03,2022-02-13,22:27:03,40,km,3.2,Ml
77 km al SE de Socaire,-24.014,-67.298,2022-02-13,19:10:58,2022-02-13,22:10:58,242,km,2.7,Ml
48 km al SO de OllagÃ¼e,-21.595,-68.485,2022-02-13,17:42:18,2022-02-13,20:42:18,137,km,3.4,Ml
61 km al SE de CamiÃ±a,-19.82,-69.213,2022-02-13,17:34:22,2022-02-13,20:34:22,96,km,2.6,Ml
85 km al S de Ilo,-18.374,-71.111,2022-02-13,17:21:34,2022-02-13,20:21:34,38,km,2.8,Ml
52 km al NO de La Higuera,-29.114,-71.487,2022-02-13,16:52:41,2022-02-13,19:52:41,40,km,2.9,Ml
75 km al SE de Socaire,-24.046,-67.347,2022-02-13,16:26:59,2022-02-13,19:26:59,237,km,2.8,Ml
106 km al SE de Socaire,-24.154,-67.052,2022-02-13,15:35:51,2022-02-13,18:35:51,197,km,3.0,Ml
"34 km al E de Base Frei, AntÃ¡rtica",-62.194,-58.314,2022-02-13,15:35:49,2022-02-13,18:35:49,6,km,2.9,Ml
14 km al O de Huasco,-28.469,-71.366,2022-02-13,13:50:15,2022-02-13,16:50:15,26,km,2.7,Ml
20 km al NE de Calama,-22.317,-68.827,2022-02-13,13:23:38,2022-02-13,16:23:38,100,km,2.8,Ml
91 km al SE de Socaire,-24.145,-67.235,2022-02-13,13:19:01,2022-02-13,16:19:01,191,km,3.6,Ml
"33 km al E de Base Frei, AntÃ¡rtica",-62.272,-58.36,2022-02-13,10:58:18,2022-02-13,13:58:18,9,km,2.5,Ml
57 km al SO de OllagÃ¼e,-21.674,-68.525,2022-02-13,10:29:13,2022-02-13,13:29:13,122,km,2.6,Ml
30 km al NO de Iquique,-20.063,-70.389,2022-02-13,09:28:53,2022-02-13,12:28:53,36,km,3.0,Ml
82 km al S de Mina La Escondida.,-24.985,-69.236,2022-02-13,08:59:35,2022-02-13,11:59:35,85,km,2.8,Ml
86 km al SO de Uyuni,-21.089,-67.311,2022-02-13,06:58:39,2022-02-13,09:58:39,249,km,3.8,Ml
97 km al SE de Tierra Amarilla,-28.2,-69.705,2022-02-13,03:07:42,2022-02-13,06:07:42,101,km,2.6,Ml
50 km al SE de Pica,-20.901,-69.131,2022-02-13,02:55:02,2022-02-13,05:55:02,107,km,2.9,Ml
48 km al O de OllagÃ¼e,-21.314,-68.703,2022-02-13,01:31:19,2022-02-13,04:31:19,146,km,4.2,Ml
