evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
52 km al NO de Tongoy,-29.963,-71.914,2022-01-07,20:39:12,2022-01-07,23:39:12,22,km,3.8,Ml
82 km al NO de Arauco,-36.838,-74.089,2022-01-07,18:14:16,2022-01-07,21:14:16,33,km,3.7,Ml
5 km al S de Fresia,-41.2,-73.412,2022-01-07,17:48:38,2022-01-07,20:48:38,56,km,3.2,Ml
45 km al SO de OllagÃ¼e,-21.6,-68.417,2022-01-07,13:09:14,2022-01-07,16:09:14,130,km,3.2,Ml
29 km al NE de Calama,-22.256,-68.769,2022-01-07,09:08:13,2022-01-07,12:08:13,117,km,3.5,Ml
36 km al SO de Huasco,-28.717,-71.455,2022-01-07,06:43:35,2022-01-07,09:43:35,25,km,2.6,Ml
77 km al NE de Mina La Escondida.,-23.691,-68.635,2022-01-07,03:21:33,2022-01-07,06:21:33,109,km,3.6,Ml
41 km al S de San JosÃ© de Maipo,-34.007,-70.307,2022-01-06,23:42:37,2022-01-07,02:42:37,116,km,2.7,Ml
127 km al O de Lebu,-37.649,-75.097,2022-01-06,23:14:54,2022-01-07,02:14:54,23,km,4.5,Mw
118 km al E de Socaire,-23.898,-66.782,2022-01-06,22:06:49,2022-01-07,01:06:49,206,km,3.8,Ml
42 km al SO de Mina Collahuasi,-21.077,-68.96,2022-01-06,21:27:51,2022-01-07,00:27:51,110,km,2.8,Ml
16 km al S de Huasco,-28.597,-71.168,2022-01-06,21:25:13,2022-01-07,00:25:13,47,km,2.9,Ml
41 km al N de Caldera,-26.723,-70.958,2022-01-06,21:20:19,2022-01-07,00:20:19,14,km,2.7,Ml
34 km al SO de Huasco,-28.698,-71.442,2022-01-06,21:16:41,2022-01-07,00:16:41,21,km,2.5,Ml
